Country	Record	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
Andorra	CBA_GgCO2eq	9.085173e+02	3.346747e+02	-2.391679e+02	-5.830605e+03	-2.680052e+03	9.305772e+02	6.454707e+02	1.017120e+03	9.818286e+02	1.046304e+03	1.045665e+03	1.091024e+03	1.119038e+03	1.136247e+03	1.201309e+03	1.244573e+03	1.247415e+03	1.269577e+03	1.243416e+03	1.131283e+03	1.142444e+03	1.133642e+03	1.081676e+03	1.055957e+03	9.829660e+02	9.870920e+02	2.382503e+02	1.788470e+02	7.651820e+02	
Andorra	PBA_tCO2eqperCap	8.654545e+00	8.508772e+00	8.372881e+00	8.278689e+00	8.079365e+00	8.390625e+00	8.890625e+00	9.062500e+00	9.265625e+00	9.546875e+00	9.600000e+00	9.313433e+00	9.014286e+00	8.684932e+00	8.697368e+00	8.569620e+00	7.962963e+00	7.722892e+00	7.607143e+00	7.345238e+00	7.392857e+00	7.059524e+00	7.158537e+00	7.160494e+00	7.164557e+00	7.269231e+00	7.454545e+00	7.493506e+00	7.493506e+00	
Andorra	CBA_tCO2eqperCap	1.651850e+01	5.871486e+00	-4.053694e+00	-9.558368e+01	-4.254051e+01	1.454027e+01	1.008548e+01	1.589251e+01	1.534107e+01	1.634850e+01	1.608716e+01	1.628393e+01	1.598626e+01	1.556502e+01	1.580670e+01	1.575409e+01	1.540018e+01	1.529610e+01	1.480257e+01	1.346766e+01	1.360053e+01	1.349574e+01	1.319117e+01	1.303650e+01	1.244261e+01	1.265503e+01	3.094160e+00	2.322688e+00	9.937428e+00	
Andorra	Population	55000	57000	59000	61000	63000	64000	64000	64000	64000	64000	65000	67000	70000	73000	76000	79000	81000	83000	84000	84000	84000	84000	82000	81000	79000	78000	77000	77000	77000	
Andorra	PBA_GgCO2eqPerBnUSDGDP	4.625632e+02	4.381493e+02	4.082599e+02	5.014767e+02	5.002215e+02	4.555716e+02	4.648900e+02	4.912768e+02	4.893012e+02	4.927911e+02	4.366540e+02	4.033806e+02	3.593578e+02	2.684476e+02	2.283309e+02	2.142469e+02	1.866081e+02	1.621717e+02	1.564018e+02	1.679181e+02	1.800017e+02	1.633967e+02	1.840813e+02	1.816073e+02	1.729930e+02	2.032353e+02	1.981579e+02	1.923217e+02	1.792863e+02	
Andorra	CBA_GgCO2eqPerBnUSDGDP	8.828712e+02	3.023453e+02	-1.976572e+02	-5.789926e+03	-2.633831e+03	7.894684e+02	5.273689e+02	8.615304e+02	8.101348e+02	8.438778e+02	7.317211e+02	7.052849e+02	6.372982e+02	4.811084e+02	4.149712e+02	3.938640e+02	3.608956e+02	3.212003e+02	3.043388e+02	3.078816e+02	3.311464e+02	3.123667e+02	3.392101e+02	3.306370e+02	3.004351e+02	3.538129e+02	8.224947e+01	5.961206e+01	2.377585e+02	
Andorra	GDP_MilUSD	1.029048e+03	1.106929e+03	1.210014e+03	1.007026e+03	1.017549e+03	1.178739e+03	1.223945e+03	1.180597e+03	1.211932e+03	1.239876e+03	1.429049e+03	1.546926e+03	1.755910e+03	2.361727e+03	2.894922e+03	3.159905e+03	3.456442e+03	3.952601e+03	4.085631e+03	3.674410e+03	3.449967e+03	3.629204e+03	3.188809e+03	3.193704e+03	3.271808e+03	2.789870e+03	2.896679e+03	3.000181e+03	3.218316e+03	
Angola	PBA_GgCO2eq	64800	66600	68600	68200	62600	73300	73400	68900	71400	68000	63700	65000	69500	69800	79300	80200	78200	83600	82700	84600	90100	92500	93800	90700	90900	94200	94800	94500	9.349031e+04	
Angola	CBA_GgCO2eq	5.184903e+04	5.306321e+04	5.427740e+04	4.443637e+04	3.891129e+04	3.770666e+04	3.557318e+04	4.063140e+04	4.035949e+04	3.218735e+04	3.690081e+04	3.945901e+04	4.110123e+04	4.290605e+04	4.822843e+04	4.855127e+04	4.494750e+04	5.472194e+04	5.804810e+04	7.078586e+04	6.434499e+04	6.270945e+04	6.419248e+04	6.597442e+04	6.512956e+04	6.687885e+04	7.630989e+04	7.653198e+04	6.647197e+04	
Angola	PBA_tCO2eqperCap	5.469278e+00	5.437179e+00	5.419926e+00	5.216061e+00	4.635664e+00	5.256364e+00	5.096868e+00	4.632867e+00	4.648438e+00	4.285624e+00	3.885331e+00	3.835713e+00	3.967121e+00	3.851885e+00	4.227530e+00	4.126788e+00	3.880893e+00	3.999043e+00	3.811763e+00	3.757662e+00	3.857681e+00	3.819000e+00	3.735861e+00	3.486316e+00	3.373914e+00	3.378281e+00	3.286873e+00	3.169333e+00	3.034415e+00	
Angola	CBA_tCO2eqperCap	4.376184e+00	4.332044e+00	4.288330e+00	3.398575e+00	2.881464e+00	2.703955e+00	2.470188e+00	2.732073e+00	2.627571e+00	2.028572e+00	2.250736e+00	2.328515e+00	2.346094e+00	2.367753e+00	2.571086e+00	2.498264e+00	2.230645e+00	2.617648e+00	2.675521e+00	3.144082e+00	2.754966e+00	2.589053e+00	2.556655e+00	2.535917e+00	2.417399e+00	2.398467e+00	2.645791e+00	2.566723e+00	2.157480e+00	
Angola	Population	11848000	12249000	12657000	13075000	13504000	13945000	14401000	14872000	15360000	15867000	16395000	16946000	17519000	18121000	18758000	19434000	20150000	20905000	21696000	22514000	23356000	24221000	25108000	26016000	26942000	27884000	28842000	29817000	30810000	
Angola	PBA_GgCO2eqPerBnUSDGDP	5.770893e+03	6.280776e+03	8.257289e+03	1.182238e+04	1.410443e+04	1.323403e+04	9.752278e+03	9.008447e+03	1.097410e+04	1.105166e+04	6.977309e+03	7.273896e+03	4.546765e+03	3.918551e+03	3.367010e+03	2.169273e+03	1.492908e+03	1.280903e+03	9.340558e+02	1.203291e+03	1.075185e+03	8.274466e+02	7.325100e+02	6.634488e+02	6.238325e+02	8.107156e+02	9.374643e+02	7.738048e+02	9.224207e+02	
Angola	CBA_GgCO2eqPerBnUSDGDP	4.617518e+03	5.004177e+03	6.533297e+03	7.702985e+03	8.767120e+03	6.807793e+03	4.726425e+03	5.312420e+03	6.203208e+03	5.231230e+03	4.041889e+03	4.415704e+03	2.688886e+03	2.408733e+03	2.047738e+03	1.313229e+03	8.580878e+02	8.384390e+02	6.556247e+02	1.006809e+03	7.678446e+02	5.609592e+02	5.012968e+02	4.825871e+02	4.469739e+02	5.755810e+02	7.546181e+02	6.266753e+02	6.558446e+02	
